,name,nickname
0,solomon,sal
1,solomon,salmon
2,solomon,saul
3,solomon,sol
4,solomon,solly
5,solomon,zolly
6,kristine,chris
7,kristine,christy
8,kristine,crissy
9,kristine,kris
10,kristine,kristy
11,kristine,tina
12,christopher,chris
13,christopher,kit
14,phillip,phil
15,janet,jan
16,janet,jessie
17,curtis,curt
18,judson,jud
19,judson,sonny
20,sophia,sophie
21,morris,morey
22,martina,tina
23,irving,irv
24,lenora,lee
25,lenora,nora
26,linda,lindy
27,linda,lynn
28,alfonse,al
29,elias,eli
30,elias,lee
31,elias,lias
32,matilda,matty
33,matilda,maud
34,matilda,tilly
35,amanda,manda
36,amanda,mandy
37,lincoln,link
38,geoffrey,geoff
39,geoffrey,jeff
40,barbara,bab
41,barbara,babs
42,barbara,barby
43,barbara,bobbie
44,natalie,natty
45,natalie,nettie
46,olive,livia
47,olive,nollie
48,olive,ollie
49,magdelina,lena
50,magdelina,madge
51,magdelina,magda
52,helene,ella
53,helene,ellen
54,helene,ellie
55,helene,lena
56,andrew,andy
57,andrew,drew
58,rosabel,belle
59,rosabel,rosa
60,rosabel,rose
61,rosabel,roz
62,miranda,mandy
63,miranda,mira
64,miranda,randy
65,donald,don
66,donald,donnie
67,donald,donny
68,donald,dony
69,wilber,bert
70,wilber,will
71,ezra,ez
72,roseann,ann
73,roseann,rose
74,roseann,rosie
75,roseann,roz
76,wilhelmina,mina
77,wilhelmina,minnie
78,wilhelmina,willie
79,wilhelmina,wilma
80,simon,si
81,simon,sion
82,paula,lina
83,paula,polly
84,debora,deb
85,debora,debbie
86,debora,debby
87,florence,flo
88,florence,flora
89,florence,flossy
90,courtney,court
91,courtney,curt
92,theresa,terry
93,theresa,tess
94,theresa,tessa
95,theresa,tessie
96,theresa,thirza
97,theresa,thursa
98,theresa,tracy
99,lavinia,ina
100,lavinia,vina
101,lavinia,viney
102,carolyn,carrie
103,carolyn,cassie
104,carolyn,lynn
105,rodger,bobby
106,rodger,hodge
107,rodger,robby
108,rodger,robin
109,rodger,rod
110,rodger,roge
111,rodger,rupert
112,washington,wash
113,hepsibah,hipsie
114,cordelia,cordy
115,cordelia,delia
116,elswood,elsey
117,peter,pate
118,peter,pete
119,marcus,mark
120,nancy,ann
121,nancy,nan
122,elouise,louise
123,lillah,lil
124,lillah,lilly
125,lillah,lily
126,lillah,lolly
127,ellswood,elsey
128,thomas,thom
129,thomas,tom
130,thomas,tommy
131,eliphalet,left
132,gabriella,ella
133,gabriella,gabby
134,miriam,mimi
135,miriam,mitzi
136,jedidiah,jed
137,eduardo,ed
138,eduardo,eddie
139,eduardo,eddy
140,cameron,cam
141,cameron,ron
142,cameron,ronny
143,vincenzo,vic
144,vincenzo,vin
145,vincenzo,vinnie
146,vincenzo,vinny
147,mehitabel,hetty
148,mehitabel,hitty
149,mehitabel,mabel
150,mehitabel,mitty
151,christiana,ann
152,christiana,chris
153,christiana,christy
154,christiana,crissy
155,christiana,kris
156,christiana,kristy
157,christiana,tina
158,matthew,matt
159,matthew,mattie
160,matthew,matty
161,matthew,thias
162,matthew,thys
163,kingsley,king
164,prescott,pres
165,prescott,scott
166,prescott,scotty
167,anderson,andy
168,joseph,jody
169,joseph,joe
170,joseph,joey
171,joseph,jos
172,lorenzo,loren
173,ignatius,iggy
174,ignatius,nace
175,ignatius,nate
176,ignatius,natius
177,dalton,dahl
178,domenic,dom
179,frieda,fred
180,frieda,freddie
181,frieda,freddy
182,thom,tom
183,thom,tommy
184,benedict,ben
185,benedict,bennie
186,asenath,assene
187,asenath,natty
188,asenath,sene
189,lois,louise
190,simeon,si
191,simeon,sion
192,nathan,nat
193,nathan,nate
194,caroline,carol
195,caroline,carole
196,caroline,carrie
197,caroline,cassie
198,caroline,lynn
199,isabelle,bella
200,isabelle,belle
201,isabelle,ib
202,isabelle,issy
203,isabelle,nib
204,isabelle,nibby
205,isabelle,tibbie
206,mahala,hallie
207,edgar,ed
208,edgar,eddie
209,edgar,eddy
210,katherine,cassie
211,katherine,cathy
212,katherine,kate
213,katherine,kathy
214,katherine,katy
215,katherine,kay
216,katherine,kaye
217,katherine,kit
218,katherine,kittie
219,katherine,lena
220,katherine,trina
221,melissa,lisa
222,melissa,lissa
223,melissa,mel
224,melissa,milly
225,melissa,missy
226,susan,hannah
227,susan,sue
228,susan,sukey
229,susan,susie
230,susan,suzie
231,louisa,eliza
232,louisa,lois
233,louisa,lou
234,lorraine,lorrie
235,kingston,king
236,marjorie,margie
237,marjorie,margy
238,benjamin,ben
239,benjamin,benjy
240,benjamin,bennie
241,benjamin,jamie
242,lamont,monty
243,virginia,ginger
244,virginia,ginny
245,virginia,jane
246,virginia,jennie
247,virginia,virgy
248,emanuel,manny
249,emanuel,manuel
250,abel,ab
251,abel,abe
252,abel,eb
253,abel,ebbie
254,arabella,ara
255,arabella,arry
256,arabella,bella
257,arabella,belle
258,allen,al
259,hubert,bert
260,hubert,hub
261,hubert,hugh
262,ronald,naldo
263,ronald,ron
264,ronald,ronny
265,lyndon,lindy
266,lyndon,lynn
267,randolph,dolph
268,randolph,randy
269,valerie,val
270,derrick,eric
271,derrick,rick
272,derrick,ricky
273,dorcus,darkey
274,adeline,ada
275,adeline,addy
276,adeline,delia
277,adeline,dell
278,adeline,lena
279,bernard,barney
280,bernard,berney
281,bernard,bernie
282,almena,allie
283,almena,mena
284,patricia,pat
285,patricia,patsy
286,patricia,patty
287,patricia,tricia
288,norbert,bert
289,norbert,norby
290,joanne,jo
291,hephsibah,hipsie
292,veronica,franky
293,veronica,frony
294,veronica,ron
295,veronica,ronie
296,veronica,ronna
297,veronica,ronnie
298,veronica,vonnie
299,richard,dick
300,richard,dickie
301,richard,dickon
302,richard,dicky
303,richard,rich
304,richard,rick
305,richard,ricky
306,augustine,august
307,augustine,austin
308,augustine,gus
309,olivia,livia
310,olivia,nollie
311,olivia,ollie
312,gwendolyn,gwen
313,gwendolyn,wendy
314,ernest,ernie
315,david,dave
316,david,davey
317,david,day
318,philip,phil
319,aldrich,rich
320,aldrich,riche
321,loretta,etta
322,loretta,lorrie
323,loretta,retta
324,debra,deb
325,debra,debbie
326,robert,bob
327,robert,bobby
328,robert,dob
329,robert,dobbin
330,robert,hob
331,robert,hobkin
332,robert,rob
333,stephen,steph
334,stephen,steve
335,winifred,freddie
336,winifred,winnet
337,winifred,winnie
338,edith,edie
339,edith,edye
340,percival,percy
341,ebenezer,eb
342,ebenezer,ebbie
343,ebenezer,eben
344,nathaniel,nat
345,nathaniel,nate
346,nathaniel,nathan
347,nathaniel,natty
348,nathaniel,than
349,lemuel,lem
350,jane,janie
351,jane,jean
352,jane,jennie
353,jane,jessie
354,alfred,al
355,alfred,fred
356,alfred,freddy
357,jacobus,jacob
358,patience,pat
359,patience,patty
360,henry,hal
361,henry,hank
362,henry,harry
363,cynthia,cindy
364,cynthia,cintha
365,alberta,allie
366,alberta,bert
367,alberta,bertie
368,lidia,lyddy
369,silas,si
370,helen,ella
371,helen,ellen
372,helen,ellie
373,helen,lena
374,wilson,will
375,wilson,willie
376,wilson,willy
377,alexander,al
378,alexander,alex
379,alexander,sandy
380,philetus,leet
381,philetus,phil
382,henrietta,etta
383,henrietta,etty
384,henrietta,hank
385,henrietta,nettie
386,henrietta,retta
387,josiah,jos
388,irene,rena
389,cedric,ced
390,cedric,rick
391,cedric,ricky
392,kristin,chris
393,submit,mitty
394,leslie,les
395,horace,horry
396,rosabella,belle
397,rosabella,rosa
398,rosabella,rose
399,rosabella,roz
400,kathryn,kathy
401,rosalyn,linda
402,rosalyn,rosa
403,rosalyn,rose
404,rosalyn,roz
405,rachel,shelly
406,joanna,hannah
407,joanna,jo
408,joanna,joan
409,joanna,jody
410,geraldine,dina
411,geraldine,gerrie
