,name,nickname
0,ricardo,rico
1,jeanette,janet
2,cathleen,lena
3,gerard,gerry
4,christiana,christy
5,stephen,steenie
6,maximilian,max
7,kenneth,kendrick
8,cornelia,cornie
9,gareth,gare
10,virginia,ging
11,veronica,vonnie
12,alyssa,aly
13,julia,jill
14,margaret,mae
15,philetus,leet
16,susan,suzi
17,charlene,charley
18,domenic,dom
19,louise,lulu
20,margaretta,rita
21,gilbert,wilber
22,deliverance,delly
23,parmelia,milly
24,kristen,chris
25,gabrielle,gabby
26,patrick,paddy
27,roseann,rose
28,joanne,jo
29,walter,walt
30,joseph,joey
31,cassandra,cass
32,siddhartha,sid
33,martina,tina
34,samson,sam
35,howard,howie
36,trevor,trev
37,arthur,artie
38,edwin,ed
39,elizabeth,liza
40,kristina,krissy
41,natalie,nat
42,linda,lindie
43,becky,becki
44,lindsay,lindie
45,tryphena,phena
46,wallace,wally
47,debra,debbie
48,jacobus,jacob
49,donald,dony
50,terry,terri
51,johannah,jody
52,isadora,dora
53,lawrence,law
54,michelle,mickey
55,helene,ella
56,kathleen,trina
57,carolyn,lynn
58,thomas,tom
59,sullivan,van
60,isobel,bell
61,katie,caty
62,charlotte,lottie
63,maude,maudie
64,jean,jeannie
65,cameron,ronny
66,catherine,cathi
67,alexandra,alla
68,lucinda,lu
69,benjamin,benjy
70,caleb,cale
71,roberta,bert
72,kate,cate
73,isidore,izzy
74,parmelia,amelia
75,cynthia,cintha
76,clement,clem
77,joseph,jos
78,stanislav,stan
79,daniel,dani
80,jeremiah,jem
81,joanna,joan
82,alfonzo,alfie
83,katherine,kath
84,peter,petey
85,jimmy,jimi
86,wilhelmina,wilma
87,patricia,trixie
88,david,davie
89,allie,ali
90,hephsibah,hipsie
91,olivia,ollie
92,willard,will
93,sheridan,danny
94,madeline,magda
95,christie,kristy
96,laurence,lauren
97,augustina,aggy
98,eduardo,ed
99,ronald,naldo
100,dorothy,dodie
101,alicia,allie
102,wilford,will
103,raphael,ralph
104,christina,kristie
105,don,donnie
106,evelyn,evie
107,philippa,pippa
108,miranda,randy
109,samuel,sam
110,jane,jean
111,jill,jilly
112,victoria,vikki
113,samantha,sam
114,desmond,des
115,rodger,rupert
116,gerald,gerry
117,kent,kendrick
118,roxanna,rose
119,kathleen,katy
120,bartholomew,bartel
121,theodore,teddy
122,jeffrey,jeff
123,wilber,bert
124,letitia,lettice
125,patricia,patti
126,jane,janey
127,constance,connie
128,eric,ricky
129,eleanor,ellie
130,sylvester,vessie
131,sheridan,dan
132,margaretta,peggy
133,levi,lee
134,carol,lynn
135,submit,mitty
136,deborah,deb
137,louise,eliza
138,margaretta,margie
139,philinda,lindy
140,alexander,alex
141,matilda,maud
142,ace,acey
143,alfreda,freda
144,magdalene,maddy
145,rosabella,roz
146,luella,lula
147,alexis,lexie
148,prescott,scotty
149,solomon,salmon
150,prescott,scott
151,vanessa,nessa
152,kay,kaye
153,christie,christy
154,roger,hodge
155,louisa,lula
